,0
0,17501
1,18707
2,18210
3,18011
4,17040
5,17853
6,17011
7,18101
8,18102
9,18103
10,18104
11,18109
12,17810
13,17815
14,17931
15,17020
16,18320
17,17047
18,18211
19,17720
20,18012
21,17059
22,18403
23,17920
24,18347
25,17859
26,17801
27,18212
28,17921
29,18706
30,19310
31,17851
32,17922
33,18201
34,17721
35,18641
36,17074
37,17728
38,18013
39,18216
40,17751
41,17848
42,18214
43,17938
44,17503
45,18321
46,17701
47,18014
48,17504
49,18601
50,18405
51,18602
52,17824
53,17110
54,17758
55,17812
56,17813
57,16822
58,17754
59,17814
60,17005
61,18603
62,18015
63,18016
64,18017
65,18018
66,18020
67,17241
68,17505
69,17778
70,18246
71,18447
72,18610
73,17506
74,17940
75,17013
76,17747
77,17008
78,18030
79,17507
80,17821
81,17923
82,17901
83,19316
84,17967
85,18031
86,18635
87,17925
88,18322
89,17837
90,17257
91,17508
92,17976
93,18323
94,18661
95,17045
96,17070
97,17049
98,18222
99,17745
100,17830
101,18325
102,18407
103,17015
104,17090
105,17032
106,17726
107,17820
108,18034
109,17062
110,17927
111,17068
112,18914
113,17111
114,17864
115,18433
116,17112
117,18035
118,17966
119,17850
120,18410
121,17756
122,17509
123,18229
124,18252
125,18411
126,17511
127,18413
128,17870
129,18424
130,17057
131,17866
132,18218
133,17014
134,17109
135,17512
136,17516
137,18219
138,18466
139,18036
140,18037
141,18248
142,17847
143,17312
144,18631
145,18326
146,17929
147,17930
148,17017
149,18415
150,18038
151,17970
152,17018
153,17098
154,17961
155,18220
156,17517
157,17033
158,17963
159,17730
160,18519
161,17055
162,18328
163,17823
164,18221
165,17518
166,17764
167,17889
168,18512
169,18039
170,18642
171,17960
172,17828
173,17519
174,18041
175,17028
176,17538
177,17025
178,17520
179,17317
180,18301
181,18046
182,18042
183,18043
184,18044
185,18045
186,18223
187,18255
188,17872
189,18330
190,17022
191,17023
192,17024
193,17521
194,18416
195,19520
196,18080
197,18049
198,17113
199,17522
200,18417
201,17048
202,17086
203,17825
204,18643
205,17826
206,18419
207,18615
208,17108
209,18241
210,17772
211,18420
212,17552
213,18051
214,18421
215,18224
216,17981
217,17827
218,17933
219,18423
220,17527
221,18053
222,18331
223,17934
224,17935
225,17845
226,19343
227,17094
228,17528
229,17936
230,17529
231,17027
232,17030
233,18425
234,18054
235,17031
236,18426
237,17846
238,18427
239,18702
240,17036
241,17101
242,17102
243,17103
244,17104
245,17105
246,17106
247,17829
248,19440
249,18428
250,17937
251,18055
252,18332
253,18430
254,17034
255,18927
256,18660
257,17532
258,18431
259,19344
260,17533
261,17983
262,17737
263,17831
264,17738
265,17037
266,18333
267,17534
268,18640
269,17740
270,18434
271,18231
272,18624
273,17061
274,18930
275,17535
276,17536
277,18237
278,17039
279,17941
280,17833
281,17834
282,18058
283,18435
284,17742
285,18436
286,18350
287,18625
288,18438
289,17537
290,17601
291,17608
292,17942
293,19446
294,18232
295,18440
296,18234
297,18059
298,17943
299,17836
300,17043
301,18441
302,17540
303,17339
304,17839
305,18060
306,17744
307,17857
308,17543
309,17944
310,17840
311,18334
312,17946
313,17774
314,17978
315,18062
316,17948
317,17949
318,17545
319,17547
320,17832
321,17951
322,17549
323,18063
324,17952
325,17053
326,17550
327,17841
328,17748
329,17749
330,17050
331,19539
332,17056
333,17842
334,17953
335,17058
336,17844
337,18443
338,18935
339,17551
340,18239
341,17954
342,19540
343,17001
344,17752
345,18507
346,19543
347,18344
348,18342
349,17554
350,17957
351,17067
352,17555
353,18065
354,17855
355,17069
356,17856
357,17557
358,17072
359,17959
360,17560
361,18066
362,18445
363,17073
364,18446
365,17561
366,17702
367,17760
368,17985
369,18067
370,17974
371,19362
372,18637
373,17858
374,17076
375,18518
376,17082
377,18068
378,18242
379,18069
380,17980
381,17759
382,19363
383,18070
384,18071
385,17562
386,18243
387,19365
388,18244
389,18451
390,17860
391,17861
392,17563
393,18072
394,17862
395,18073
396,17761
397,17564
398,17565
399,18944
400,17762
401,17080
402,17779
403,17964
404,17081
405,18705
406,18453
407,18948
408,18348
409,18349
410,18346
411,17965
412,19549
413,17865
414,18456
415,18245
416,18951
417,17566
418,18653
419,19601
420,17567
421,17867
422,18076
423,18352
424,17568
425,18077
426,17569
427,17570
428,17087
429,18955
430,17868
431,19551
432,17571
433,17572
434,17573
435,18457
436,17968
437,18353
438,17088
439,18078
440,17574
441,17972
442,18354
443,18355
444,18501
445,18510
446,18517
447,18960
448,17876
449,18655
450,19607
451,18458
452,17575
453,18962
454,19608
455,18357
456,18079
457,17576
458,17877
459,17577
460,18964
461,18459
462,17266
463,18460
464,18968
465,19609
466,18081
467,18247
468,18463
469,17578
470,17878
471,18083
472,17579
473,18360
474,18249
475,17093
476,18250
477,17979
478,19371
479,17880
480,18370
481,18251
482,18464
483,17580
484,18372
485,18085
486,18969
487,17581
488,18086
489,18254
490,17881
491,18087
492,17882
493,18970
494,17982
495,18469
496,17773
497,18470
498,18088
499,17777
500,17582
501,17884
502,18471
503,18472
504,17885
505,19565
506,18106
507,18202
508,17886
509,17583
510,18256
511,17887
512,18473
513,18052
514,17097
515,17888
516,18701
517,18703
518,18704
519,17703
520,17584
521,17366
522,17585
523,19567
524,17368
525,19610
526,18981
527,18092
